1, 1, 1, 		1.0274,		0.7512, -0.5335, -0.3887, 0.4081, 0.7131, -0.5700, -0.8935, -0.1767, 0.4128, 		0.6646, 0.3354, 0.0000, 
1, 1, 1, 		1.0275,		-0.7523, 0.5356, 0.3835, 0.4025, 0.7219, -0.5628, 0.1700, -0.9294, 0.3276, 		0.6638, 0.3362, 0.0000, 
1, 1, 1, 		0.7039,		0.8056, -0.5474, -0.2267, -0.1614, 0.1921, 0.9680, -0.8980, -0.1026, 0.4280, 		0.5507, 0.4493, 0.0000, 
1, 1, 1, 		1.0273,		-0.7516, 0.5322, 0.3897, 0.4024, 0.7243, -0.5599, -0.6668, -0.2698, 0.6947, 		0.6641, 0.3359, 0.0000, 
1, 1, 1, 		0.7039,		-0.8048, 0.5465, 0.2315, -0.1520, 0.1889, 0.9702, -0.7492, 0.5508, -0.3679, 		0.5523, 0.4477, 0.0000, 
1, 2, 1, 		1.3047,		0.3539, -0.1291, -0.9263, -0.9790, -0.1844, 0.0873, -0.3181, -0.7162, 0.6212, 		1.0000, 0.0000, 0.0000, 
1, 2, 1, 		0.6117,		0.9515, -0.2839, -0.1189, -0.1938, 0.0512, 0.9797, 0.4286, 0.8555, 0.2905, 		0.5037, 0.4963, 0.0000, 
1, 2, 1, 		0.6116,		0.9522, -0.2829, -0.1154, -0.1995, 0.0543, 0.9784, 0.2316, -0.7268, 0.6466, 		0.5021, 0.4979, 0.0000, 
1, 2, 1, 		1.2487,		0.9321, -0.2962, -0.2082, -0.8062, 0.0637, -0.5882, 0.1012, -0.9720, 0.2121, 		1.0000, 0.0000, 0.0000, 
1, 2, 1, 		0.6117,		-0.9518, 0.2836, 0.1168, -0.1952, 0.0517, 0.9794, 0.1221, -0.6337, 0.7638, 		0.5028, 0.4972, 0.0000, 
1, 3, 1, 		1.0307,		0.1775, 0.5243, -0.8328, 0.9675, -0.0641, -0.2445, -0.3752, -0.9029, 0.2100, 		0.7681, 0.2319, 0.0000, 
1, 3, 1, 		0.9944,		-0.2226, -0.5111, 0.8302, 0.8346, -0.4418, 0.3288, 0.9266, -0.2344, -0.2940, 		0.7568, 0.2432, 0.0000, 
1, 3, 1, 		1.0307,		0.1770, 0.5258, -0.8320, 0.9669, -0.0505, -0.2500, -0.2569, -0.9099, 0.3258, 		0.7673, 0.2327, 0.0000, 
1, 3, 1, 		0.9658,		0.1972, 0.5307, -0.8243, -0.3495, 0.7523, 0.5585, -0.2121, -0.9003, 0.3802, 		0.7491, 0.2509, 0.0000, 
1, 3, 1, 		0.9944,		-0.2250, -0.5100, 0.8303, -0.8370, 0.4361, -0.3307, -0.4824, 0.8246, -0.2955, 		0.7574, 0.2426, 0.0000, 
1, 4, 1, 		0.6541,		-0.5701, -0.4441, 0.6912, 0.6966, 0.7174, 0.0102, 0.9204, -0.3045, -0.2451, 		0.5246, 0.3152, 0.1603, 
1, 4, 1, 		1.1465,		0.7354, 0.4797, -0.4787, 0.1268, -0.6271, 0.7685, -0.2669, -0.9563, -0.1195, 		0.7084, 0.2916, 0.0000, 
1, 4, 1, 		0.5357,		-0.6740, -0.3455, 0.6529, 0.7103, 0.7038, 0.0090, 0.1211, -0.7051, 0.6987, 		0.4842, 0.3115, 0.2043, 
1, 4, 1, 		0.5357,		-0.6770, -0.3512, 0.6468, 0.7053, 0.7084, 0.0248, 0.1216, -0.7011, 0.7026, 		0.4904, 0.3058, 0.2038, 
