1, 1, 1, 		0.1704,		10.8061, 2.6489		 0.7809, -0.5804, -0.2310, -0.3161,  0.2536,  0.9142, -0.4333, -0.1784,  0.8834, 		0.5241, 0.4759, 0.0000, 
1, 1, 1, 		0.1704,		18.6890, 2.6445		-0.7815,  0.5808,  0.2278, -0.3181,  0.2551,  0.9131, -0.2258,  0.3381, -0.9136, 		0.5232, 0.4768, 0.0000, 
1, 1, 1, 		0.1703,		9.2562, 2.6481		 0.7805, -0.5803, -0.2324, -0.3152,  0.2528,  0.9147, -0.5395, -0.0584,  0.8400, 		0.5250, 0.4750, 0.0000, 
1, 1, 1, 		0.7048,		16.4030, 13.5934		-0.6982,  0.5382,  0.4721, -0.9313,  0.1972,  0.3061,  0.2684, -0.4354, -0.8593, 		1.0000, 0.0000, 0.0000, 
1, 1, 1, 		0.7048,		34.1907, 13.5928		 0.6982, -0.5382, -0.4721, -0.0818, -0.8706, -0.4852, -0.7672, -0.1811,  0.6153, 		1.0000, 0.0000, 0.0000, 
1, 1, 1, 		0.1704,		22.6621, 2.7176		-0.7784,  0.5804,  0.2393, -0.3108,  0.2456,  0.9182,  0.9262,  0.3612,  0.1082, 		0.5277, 0.4723, 0.0000, 
1, 2, 1, 		0.5915,		29.0346, 7.3128		-0.4225,  0.1363,  0.8960, -0.9360, -0.1505,  0.3181,  0.4127, -0.9089, -0.0591, 		1.0000, 0.0000, 0.0000, 
1, 2, 1, 		0.5915,		24.7310, 8.3018		 0.4379, -0.1382, -0.8883, -0.4368, -0.4850,  0.7576,  0.9889,  0.1417, -0.0456, 		1.0000, 0.0000, 0.0000, 
1, 2, 1, 		0.5915,		34.6083, 7.3670		 0.4235, -0.1359, -0.8957, -0.0919, -0.7410, -0.6652, -0.7677, -0.4177,  0.4859, 		1.0000, 0.0000, 0.0000, 
1, 2, 1, 		0.6590,		37.8526, 11.9335		 0.9307, -0.3051, -0.2018, -0.6008, -0.4153,  0.6830,  0.6085,  0.5006,  0.6158, 		1.0000, 0.0000, 0.0000, 
1, 2, 1, 		0.5915,		38.6855, 8.1982		-0.4368,  0.1356,  0.8893, -0.9484, -0.2931, -0.1210, -0.3595, -0.8530, -0.3784, 		1.0000, 0.0000, 0.0000, 
1, 2, 1, 		0.5915,		51.0563, 7.3668		-0.4234,  0.1364,  0.8956, -0.0877, -0.9442,  0.3174,  0.0010,  0.9904,  0.1380, 		1.0000, 0.0000, 0.0000, 
1, 3, 1, 		0.6175,		18.6489, 15.1944		-0.1261, -0.5991,  0.7907,  0.2451, -0.7820,  0.5730, -0.2144,  0.2367, -0.9476, 		1.0000, 0.0000, 0.0000, 
1, 3, 1, 		0.1918,		16.1476, 5.2384		 0.1233,  0.7846, -0.6076, -0.0663, -0.1893,  0.9797,  0.5169, -0.0912, -0.8511, 		0.5634, 0.4366, 0.0000, 
1, 3, 1, 		0.1919,		27.3265, 5.6146		 0.1245,  0.7784, -0.6153, -0.0599, -0.1730,  0.9831, -0.7348, -0.3697, -0.5687, 		0.5731, 0.4269, 0.0000, 
1, 3, 1, 		0.1918,		27.6056, 5.2025		 0.1244,  0.7852, -0.6067, -0.0682, -0.1892,  0.9796, -0.2077,  0.7630,  0.6121, 		0.5630, 0.4370, 0.0000, 
1, 3, 1, 		0.6174,		22.3697, 15.2921		 0.1310,  0.5969, -0.7915,  0.3917,  0.1727, -0.9038, -0.6299, -0.6584,  0.4119, 		1.0000, 0.0000, 0.0000, 
1, 3, 1, 		0.1918,		13.8795, 5.5510		-0.1244, -0.7788,  0.6148, -0.0611, -0.1755,  0.9826, -0.1204, -0.9829,  0.1394, 		0.5725, 0.4275, 0.0000, 
1, 4, 1, 		0.7704,		37.0336, 7.1794		-0.6912, -0.5202,  0.5017,  0.8119, -0.4653, -0.3525,  0.4291, -0.2019, -0.8804, 		1.0000, 0.0000, 0.0000, 
1, 4, 1, 		0.1884,		17.1411, 15.0474		 0.6085,  0.7147, -0.3449, -0.5537, -0.3449,  0.7579,  0.9671,  0.1771, -0.1826, 		0.4202, 0.3648, 0.2150, 
1, 4, 1, 		0.3775,		26.9088, 8.4963		 0.7458,  0.6076, -0.2731, -0.5519, -0.3673,  0.7487,  0.7106,  0.3104,  0.6314, 		0.5379, 0.4621, 0.0000, 
1, 4, 1, 		0.7704,		43.0535, 7.3434		 0.6892,  0.5203, -0.5043, -0.3302,  0.9296, -0.1640, -0.0008, -0.9905,  0.1376, 		1.0000, 0.0000, 0.0000, 
1, 4, 1, 		0.3838,		14.3029, 8.2231		-0.7570, -0.5708,  0.3180,  0.4753,  0.3724, -0.7971,  0.3071,  0.3401, -0.8888, 		0.6026, 0.3974, 0.0000, 
1, 4, 1, 		0.7704,		21.0082, 7.2245		-0.6893, -0.5218,  0.5026,  0.3388,  0.5174, -0.7858, -0.5259, -0.8365, -0.1540, 		1.0000, 0.0000, 0.0000, 
1, 5, 1, 		0.3555,		14.7644, 11.3503		 0.1237, -0.1607, -0.9792,  0.2145, -0.3100,  0.9262,  0.0720, -0.3913, -0.9174, 		0.5443, 0.4557, 0.0000, 
1, 5, 1, 		0.3556,		31.3101, 11.6046		 0.1334, -0.1943, -0.9718,  0.1851, -0.2889,  0.9393,  0.4358, -0.8760,  0.2068, 		0.5058, 0.4942, 0.0000, 
1, 5, 1, 		0.3554,		23.5948, 11.3557		-0.1267,  0.1631,  0.9785, -0.2125,  0.3058, -0.9281,  0.7624, -0.0864, -0.6413, 		0.5400, 0.4600, 0.0000, 
1, 5, 1, 		0.1723,		17.4538, 17.3711		-0.0789,  0.2816,  0.9563,  0.1968,  0.2854, -0.9380,  0.3794, -0.1687,  0.9097, 		0.3571, 0.3281, 0.3148, 
1, 5, 1, 		0.3555,		17.7154, 11.3368		-0.1219,  0.1610,  0.9794,  0.2127, -0.3117,  0.9261, -0.1943, -0.4748, -0.8584, 		0.5456, 0.4544, 0.0000, 
1, 5, 1, 		0.8245,		34.4182, 5.5232		-0.0197,  0.0432, -0.9989,  0.8648,  0.3035,  0.4000, -0.1817,  0.5809,  0.7934, 		1.0000, 0.0000, 0.0000, 
1, 6, 1, 		0.2424,		6.4927, 1.1730		 0.4708,  0.5865,  0.6591,  0.3367,  0.4770, -0.8118,  0.5788,  0.3348,  0.7435, 		0.5603, 0.4397, 0.0000, 
